regionID,parcel_name,FAT_left,AF_left,PTAT_left,MdLF_left,SLF_III_left,SLF_II_left,SLF_I_left,C_FP_left,C_R_left,C_FPH_left,C_PHP_left,C_PH_left,ILF_left,IFOF_left,UF_left,VOF_left,CST_left,CBT_left,CStr_A_left,CStr_P_left,CStr_S_left,CTh_A_left,CTh_P_left,CTh_S_left,OR_left,F_left,LR,FAT_right,AF_right,PTAT_right,MdLF_right,SLF_III_right,SLF_II_right,SLF_I_right,C_FP_right,C_R_right,C_FPH_right,C_PHP_right,C_PH_right,ILF_right,IFOF_right,UF_right,VOF_right,CST_right,CBT_right,CStr_A_right,CStr_P_right,CStr_S_right,CTh_A_right,CTh_P_right,CTh_S_right,OR_right,F_right,regionLongName,regionIdLabel,region,cortex
33,L_v23ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981220657277,0.532394366197183,0.787793427230047,0.104225352112676,0.0938967136150235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028169014084507,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_ventral_23_a+b_L,33_L,v23ab,Posterior_Cingulate
34,L_d23ab,0.0,0.0,0.0,0.0,0.0,0.0,0.107042253521127,0.858215962441315,0.994366197183099,0.186854460093897,0.00187793427230047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_dorsal_23_a+b_L,34_L,d23ab,Posterior_Cingulate
35,L_31pv,0.0,0.0,0.0,0.0,0.0,0.0,0.502347417840376,0.995305164319249,0.929577464788732,0.212206572769953,0.0272300469483568,0.00187793427230047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000938967136150235,0.0,0.0,0.00187793427230047,0.0,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_31p_ventral_L,35_L,31pv,Posterior_Cingulate
36,L_5m,0.0,0.0,0.0,0.000946969696969697,0.0,0.0,0.969014084507042,0.0751173708920188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375586854460094,0.157746478873239,0.0,0.106103286384977,0.335211267605634,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_5m_L,36_L,5m,Paracentral_Lobular_and_Mid_Cingulate
37,L_5mv,0.0,0.0,0.0,0.00284090909090909,0.0,0.0,1.0,0.100469483568075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525821596244131,0.00563380281690141,0.0,0.153051643192488,0.106103286384977,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_5m_ventral_L,37_L,5mv,Paracentral_Lobular_and_Mid_Cingulate
38,L_23c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.974647887323944,0.217840375586854,0.0131455399061033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00375586854460094,0.0,0.0,0.0187793427230047,0.0140845070422535,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_23c_L,38_L,23c,Paracentral_Lobular_and_Mid_Cingulate
39,L_5L,0.0,0.0,0.0,0.330492424242424,0.0,0.0140845070422535,0.473239436619718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0253521126760563,0.0,0.0,0.803755868544601,0.706103286384977,0.0,0.946478873239437,0.846948356807512,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Area_5L_L,39_L,5L,Paracentral_Lobular_and_Mid_Cingulate
40,L_24dd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.222535211267606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187793427230047,0.0,0.0,0.0,0.0375586854460094,0.0,0.0,0.0647887323943662,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorsal_Area_24d_L,40_L,24dd,Paracentral_Lobular_and_Mid_Cingulate
41,L_24dv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.952112676056338,0.0713615023474178,0.107042253521127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00845070422535211,0.0,0.0,0.0272300469483568,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventral_Area_24d_L,41_L,24dv,Paracentral_Lobular_and_Mid_Cingulate
42,L_7AL,0.0,0.0,0.0,0.801136363636364,0.0,0.43943661971831,0.0976525821596244,0.0,0.0,0.0,0.00845070422535211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983098591549296,0.801877934272301,0.0,0.993427230046948,0.780281690140845,0.0,0.0,L,,,,,,,,,,,,,,,,,,,,,,,,,,,Lateral_Area_7A_L,42_L,7AL,Superior_Parietal
